"","Ray","Time","Syringe","Variable","Value"
"309",1104,15,"P","PO2",1.411
"310",1104,45,"P","PO2",2.555
"311",1104,90,"P","PO2",4.271
"312",2315,5,"P","PO2",-1.449
"313",2315,5,"G","PO2",-1.449
"314",2315,15,"P","PO2",-1.449
"315",4981,0,"P","PO2",1.983
"316",4981,0,"G","PO2",1.983
"317",4981,5,"P","PO2",1.983
"318",4981,5,"G","PO2",3.699
"319",4981,10,"P","PO2",1.983
"320",4981,10,"G","PO2",2.555
"321",4981,15,"P","PO2",1.983
"322",4981,15,"G","PO2",2.555
"323",4981,45,"P","PO2",2.555
"324",4981,45,"G","PO2",2.555
"325",4981,90,"P","PO2",1.983
"326",4981,90,"G","PO2",2.555
"327",9901,0,"P","PO2",1.983
"328",9901,0,"G","PO2",2.555
"329",9901,5,"P","PO2",2.555
"330",9901,5,"G","PO2",1.983
"331",9901,10,"P","PO2",2.555
"332",9901,10,"G","PO2",1.983
"333",9901,15,"P","PO2",2.555
"334",9901,15,"G","PO2",1.983
"335",9901,45,"P","PO2",3.127
"336",9901,45,"G","PO2",3.127
"337",9901,90,"P","PO2",3.127
"338",9901,90,"G","PO2",2.555
"339",7616,0,"P","PO2",3.127
"340",7616,0,"G","PO2",2.555
"341",7616,5,"P","PO2",3.127
"342",7616,5,"G","PO2",3.127
"343",7616,10,"P","PO2",3.127
"344",7616,10,"G","PO2",3.699
"345",7616,15,"P","PO2",3.699
"346",7616,15,"G","PO2",3.127
"347",7616,45,"P","PO2",3.699
"348",7616,45,"G","PO2",4.843
"349",7616,90,"P","PO2",6.559
"350",7616,90,"G","PO2",5.415
"351",4454,10,"P","PO2",-1.449
"352",4454,15,"P","PO2",-1.449
"353",4454,45,"P","PO2",-1.449
"354",4454,90,"P","PO2",3.127
"355",130,0,"P","PO2",3.127
"356",130,0,"G","PO2",4.271
"357",130,5,"P","PO2",4.271
"358",130,5,"G","PO2",5.987
"359",130,10,"P","PO2",4.843
"360",130,10,"G","PO2",9.419
"361",130,15,"P","PO2",4.271
"362",130,15,"G","PO2",2.555
"363",130,45,"P","PO2",4.271
"364",130,45,"G","PO2",2.555
"365",130,90,"P","PO2",6.559
"366",130,90,"G","PO2",3.127
"367",1055,0,"P","PO2",-1.449
"368",1055,0,"G","PO2",1.411
"369",1055,5,"P","PO2",-1.449
"370",1055,5,"G","PO2",-1.449
"371",1055,10,"P","PO2",1.411
"372",1055,10,"G","PO2",3.127
"373",1055,15,"P","PO2",-1.449
"374",1055,45,"P","PO2",1.411
